permno,date,month,ret,shrout,altprc,exchcd,siccd,mktcap,mktcap_lag,exchange,industry,ret_excess,gvkey,month:1,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl,month:2,mkt_excess,smb,hml,rf
10028,1995-09-29T00:00:00,1995-09-01T00:00:00,-0.0227272734045982,5873000.0,-1.34375,2,5094,7.89184375,8.089125,AMEX,Wholesale,-0.0270272734045982,012096,1995-09-01T00:00:00,-3.76237292547756,0.00526614385297908,-2.81012505198815,-0.952247873489413,0.0003814536,0.2724949976,0.006379353,0.0528,0.0663,0.0175,0.0135,0.00609999999999999,0.0019620667,1995-09-01T00:00:00,0.0335,-0.022,-0.0004,0.0043
10028,1995-10-31T00:00:00,1995-10-01T00:00:00,-0.116279073059559,5873000.0,-1.1875,2,5094,6.9741875,7.89184375,AMEX,Wholesale,-0.120979073059559,012096,1995-10-01T00:00:00,-3.75216453356549,0.00521657257323316,-2.8167611210379,-0.935403412527585,0.0004878173,0.2744202453,0.0122212523,0.0528,0.0641,0.0294,0.0113,0.0063,0.0032637076,1995-10-01T00:00:00,-0.0152,-0.0378,-0.005,0.0047
10028,1995-11-30T00:00:00,1995-11-01T00:00:00,-0.0526315793395042,5873000.0,-1.125,2,5094,6.607125,6.9741875,AMEX,Wholesale,-0.0568315793395042,012096,1995-11-01T00:00:00,-3.78720390184963,0.00518950110303784,-2.86875176905946,-0.918452132790169,0.0005461627,0.2571688515,0.0168709535,0.0536,0.0623,0.0249,0.0087,0.00659999999999999,-0.0006506181,1995-11-01T00:00:00,0.0396,-0.0109,0.0051,0.0042
10028,1995-12-29T00:00:00,1995-12-01T00:00:00,0.111111111938953,5830000.0,1.25,2,5094,7.2875,6.607125,AMEX,Wholesale,0.106211111938953,012096,1995-12-01T00:00:00,-3.79933467205816,0.00516270915834882,-2.89794995926964,-0.901384712788528,0.0008205365,0.2550263829,0.0155265173,0.0514,0.0603,0.0272,0.0089,0.0067,-0.0006510417,1995-12-01T00:00:00,0.0103,0.007,0.0022,0.0049
10028,1996-01-31T00:00:00,1996-01-01T00:00:00,0.0,5830000.0,1.25,2,5094,7.2875,7.2875,AMEX,Wholesale,-0.0043,012096,1996-01-01T00:00:00,-3.82382329984469,0.00760806088725907,-2.92926073777047,-0.894562562074221,0.0013839551,0.2418771721,0.0161278629,0.05,0.0609,-0.0011,0.0109,0.00660000000000001,0.0058631922,1996-01-01T00:00:00,0.0226,-0.0273,0.0038,0.0043
10028,1996-02-29T00:00:00,1996-02-01T00:00:00,0.200000002980232,5830000.0,1.5,2,5094,8.745,7.2875,AMEX,Wholesale,0.196100002980232,012096,1996-02-01T00:00:00,-3.82317535758585,0.0075577586190323,-2.93538820114958,-0.88778715643627,0.0012676309,0.2378947371,0.0168013686,0.0483,0.0659,-0.0483,0.0176,0.0064,0.003238342,1996-02-01T00:00:00,0.0133,0.0179,-0.0108,0.0039
10028,1996-03-29T00:00:00,1996-03-01T00:00:00,-0.0833333358168602,5830000.0,1.375,2,5094,8.01625,8.745,AMEX,Wholesale,-0.0872333358168602,012096,1996-03-01T00:00:00,-3.82356676519113,0.00749397693465914,-2.94248890658152,-0.881077858609604,0.0017417161,0.2392996154,0.0168919131,0.0496,0.0684,-0.021,0.0188,0.0068,0.0051646223,1996-03-01T00:00:00,0.0073,0.0149,0.0035,0.0039
10028,1996-04-30T00:00:00,1996-04-01T00:00:00,0.0,5830000.0,1.375,2,5094,8.01625,8.01625,AMEX,Wholesale,-0.0046,012096,1996-04-01T00:00:00,-3.83292498203505,0.00398382938625286,-2.94734764904727,-0.885577332987778,0.0009818376,0.2400758062,0.0211219538,0.0495,0.0706,-0.0165,0.0211,0.0069,0.0038535645,1996-04-01T00:00:00,0.0206,0.0523,-0.0402,0.0046
10028,1996-05-31T00:00:00,1996-05-01T00:00:00,0.363636374473572,5830000.0,1.875,2,5094,10.93125,8.01625,AMEX,Wholesale,0.359436374473572,012096,1996-05-01T00:00:00,-3.85154608630755,0.00397505545089283,-2.96153186649221,-0.890014219815348,0.0011252912,0.2369235155,0.0264191545,0.0502,0.0717,-0.0054,0.0215,0.0068,0.0019193858,1996-05-01T00:00:00,0.0236,0.0317,-0.0083,0.0042
10028,1996-06-28T00:00:00,1996-06-01T00:00:00,-0.233333334326744,5821000.0,-1.4375,2,5094,8.3676875,10.93125,AMEX,Wholesale,-0.237333334326744,012096,1996-06-01T00:00:00,-3.84984792844113,0.00395231071491642,-2.95544424797182,-0.894403680469313,0.0003948038,0.2364437252,0.0272161737,0.0509,0.0703,0.0203,0.0194,0.0069,0.0006385696,1996-06-01T00:00:00,-0.0114,-0.0401,0.0235,0.004
