Date,Mkt-RF,SMB,HML,RMW,CMA,MMOM,PEAD,FIN,QMJ,BAB,MGMT,PERF,MKTRF,SMB*,IA,ROE,MKT,ME,LIQ,IFCR,CON
198404,-0.0051,-0.0101,0.0129,0.0327,0.0076,0.0206,0.014819159,0.033499416,0.031807861,-0.001926478,0.019564656,0.047874628,-0.0052,-0.00605434,0.010318,0.021317,-0.005596,-0.009236,0.0047,-0.0284,-0.003213108
198405,-0.0597,0.0008,0.0026,0.0232,-0.005,0.0157,-0.006380987,0.007610636,0.028052745,0.01770689,0.010151986,0.048225577,-0.0597,0.001878958,-0.014965,0.01825,-0.06024,-0.003857,0.025,-0.127,-0.000556641
198406,0.0182,0.0007,-0.026,0.0308,-0.0151,-0.007,0.00061238,-0.009368053,0.021983134,0.007515126,-0.009900005,0.022877968,0.0182,0.004607846,-0.022294,0.018346,0.015851,0.004769,-0.004,0.0523,0.018649617
198407,-0.0274,-0.0222,0.0049,0.0369,-0.0217,0.0293,0.001613647,0.013636595,0.030746866,0.029084461,0.015930052,0.03214103,-0.0274,-0.015004223,-0.013051,0.036577,-0.029376,-0.022931,0.0159,-0.0402,-0.027211361
198408,0.1028,-0.003,-0.0185,-0.0089,-0.0081,-0.0565,-0.026970178,-0.036394498,-0.020056176,0.000257901,-0.036023028,-0.040796818,0.1028,-0.008455594,-0.004606,0.009456,0.104726,0.002344,-0.0318,0.1744,0.024119239
198409,-0.008,0,0.0532,0.014,0.0253,0.0364,0.008444582,0.065804662,0.002133584,0.044476208,0.04706004,-0.01770771,-0.008,0.005326694,0.025762,0.002359,-0.007889,-0.006972,0.0303,0.0475,0.01345701
198410,-0.0084,-0.0143,0.0051,0.0117,-0.0116,0.0323,0.007199041,0.004014979,0.02094274,0.026856617,0.012119335,0.016208777,-0.0084,-0.006384553,-0.003744,0.026788,-0.00984,-0.013769,-0.0058,0.0082,0.020941164
198411,-0.0176,-0.0098,0.0408,0.0081,0.0208,0.017,0.015463675,0.04294297,0.011056872,0.012597041,0.030972335,0.000488763,-0.0176,-0.005096302,0.022308,0.008011,-0.018019,-0.010592,0.0186,-0.019,0.004649346
198412,0.0184,-0.0069,-0.0017,0.0121,-0.0126,0.0155,0.004195443,-0.010233135,0.002767882,0.002579938,-0.005782866,0.011521145,0.0184,-0.000408224,-0.008283,0.025538,0.016733,-0.004111,-0.0063,0.0683,0.01332773
198501,0.0799,0.0349,-0.0543,-0.0083,-0.0336,-0.069,-0.013517452,-0.0623229,-0.011543009,0.020815704,-0.043100819,-0.023659534,0.0799,0.020840652,-0.034344,0.009646,0.079244,0.034381,-0.016,0.1376,0.014221767
